source_system,source_ref,url,entity_type,entity_id,entity_label,tread_pattern,display_priority,status
production.catalog_images,catalog_images:a74b6fdb-3663-4d2f-96c6-7880220ee7be,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-02.webp,track_size,ts_300x525nx80,300x52.5Nx80,Directional,2,mapped
production.catalog_images,catalog_images:0e32d0f3-df2c-4a1b-8f4f-599d18ff7bf2,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-03.webp,track_size,ts_300x525nx80,300x52.5Nx80,Directional,2,mapped
production.catalog_images,catalog_images:ab648a96-2dbd-401c-8a24-489becc643f4,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-04.webp,track_size,ts_300x525nx80,300x52.5Nx80,Directional,2,mapped
production.catalog_images,catalog_images:71d01b2c-1e79-4776-9f2f-102f9aaa70b2,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx76-directional-01.webp,track_size,ts_300x525nx76,300x52.5Nx76,Directional,1,mapped
production.catalog_images,catalog_images:2959263b-326d-4a6f-adb3-852c947bd100,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-02.webp,track_size,ts_300x525nx84,300x52.5Nx84,Directional,2,mapped
production.catalog_images,catalog_images:be358506-bdd1-47cb-bbc0-1f09f3663b80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-03.webp,track_size,ts_300x525nx84,300x52.5Nx84,Directional,2,mapped
production.catalog_images,catalog_images:7460e78e-119a-457c-9c8b-5f139954119c,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-04.webp,track_size,ts_300x525nx84,300x52.5Nx84,Directional,2,mapped
production.catalog_images,catalog_images:74debb8e-8e77-431c-b62e-62d1c8d69659,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Kx88-directional-03.webp,track_size,ts_300x525kx88,300x52.5Kx88,Directional,2,mapped
production.catalog_images,catalog_images:310a5b44-ba1c-4d2a-9d38-f387a1138386,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x86x49-c-block-03.webp,track_size,ts_400x86bx49,400x86Bx49,C-Block,2,mapped
production.catalog_images,catalog_images:9dbba371-5f05-42fe-939f-f8d36b4ac1f5,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x53-multi-bar-04.webp,track_size,ts_320x86bx53,320x86Bx53,Multi-Bar,2,mapped
production.catalog_images,catalog_images:bde592d4-fe7e-4f8f-8289-801a09197340,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx76-block-01.webp,track_size,ts_300x525wx76,300x52.5Wx76,Block,1,mapped
