candidate_id,machine_id,shopify_handle,field_name,source_type,source_priority,source_url,confidence,evidence_text
enr_ae06e221903446c9de7bdd72,mdl_cat_299d,caterpillar-299d,canonical_model_group,track_finder,4,/pages/equipment-model/caterpillar-299d,0.88,Track Finder model family label
enr_5590b9b8f06c03ac2917a817,mdl_cat_299d2,caterpillar-299d2,canonical_model_group,track_finder,4,/pages/equipment-model/caterpillar-299d2,0.88,Track Finder model family label
enr_848bf2f80beb293bae5f19ca,mdl_cat_299d3,caterpillar-299d3,canonical_model_group,track_finder,4,/pages/equipment-model/caterpillar-299d3,0.88,Track Finder model family label
enr_135dd04e3777d0af631e5af7,mdl_cat_299d_xhp,caterpillar-299d-xhp,canonical_model_group,track_finder,4,/pages/equipment-model/caterpillar-299d-xhp,0.88,Track Finder model family label
enr_2352fbe5fa80572027d4ba4e,mdl_case_cx14_zts,case-cx14-zts,canonical_model_group,track_finder,4,/pages/equipment-model/case-cx14-zts,0.88,Track Finder model family label
enr_c5049f5bbbd01cd2dfa29f10,mdl_case_cx16_2001,case-cx16-2001,canonical_model_group,track_finder,4,/pages/equipment-model/case-cx16-2001,0.88,Track Finder model family label
enr_d4c6953307a0489cd17305e8,mdl_boxer_brute_trx,boxer-brute-trx,canonical_model_group,track_finder,4,/pages/equipment-model/boxer-brute-trx,0.88,Track Finder model family label
enr_c45c716eaed0af8bfdfb0b37,mdl_daewoo_solar_018vt,daewoo-solar-018vt,canonical_model_group,track_finder,4,/pages/equipment-model/daewoo-solar-018vt,0.88,Track Finder model family label
enr_4b180bb8a5cb82ee301681db,mdl_ditch_witch_jt2520,ditch-witch-jt-2520-drilling-machine,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-jt-2520-drilling-machine,0.88,Track Finder model family label
enr_fda6876ed5b325a0478aa0fd,mdl_ditch_witch_jt2720,ditch-witch-jt-2720-mach-1-drilling-machine,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-jt-2720-mach-1-drilling-machine,0.88,Track Finder model family label
enr_ecedf5345a1d3189cb4107e1,mdl_ditch_witch_jt860,ditch-witch-jt-860-drilling-machine,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-jt-860-drilling-machine,0.88,Track Finder model family label
enr_6edd97abfacb8a7c9d39b8ca,mdl_ditch_witch_jt922,ditch-witch-jt-922,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-jt-922,0.88,Track Finder model family label
enr_a4136e6297db2fc0d9fbd38e,mdl_ditch_witch_mx182,ditch-witch-mx182,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-mx182,0.88,Track Finder model family label
enr_32d36c55ce6658be7ca40e53,mdl_ditch_witch_mx_352,ditch-witch-mx352,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-mx352,0.88,Track Finder model family label
enr_0f6e6afe3dbb7b534c009604,mdl_ditch_witch_sk1550,ditch-witch-sk-1550,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-sk-1550,0.88,Track Finder model family label
enr_391869427fe0619ef50fe16b,mdl_ditch_witch_sk600,ditch-witch-sk-600,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-sk-600,0.88,Track Finder model family label
enr_2d6f37a14524fe39af751515,mdl_ditch_witch_sk650,ditch-witch-sk-650,canonical_model_group,track_finder,4,/pages/equipment-model/ditch-witch-sk-650,0.88,Track Finder model family label
enr_03828832789058ee6a71aa38,mdl_hyundai_r35z9,hyundai-r-35-z-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r-35-z-9,0.88,Track Finder model family label
enr_d0a45c2b4d7b2c9c706adc86,mdl_hyundai_r553,hyundai-r55-3,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r55-3,0.88,Track Finder model family label
enr_275155a97691cd8eed8f6f03,mdl_hyundai_r557,hyundai-r55-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r55-7,0.88,Track Finder model family label
enr_3b1e8de9026aa4c95bb5d1a8,mdl_hyundai_r559,hyundai-r55-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r55-9,0.88,Track Finder model family label
enr_9386ab8383f8ca0315b30444,mdl_hyundai_r60cr9,hyundai-r60cr-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r60cr-9,0.88,Track Finder model family label
enr_4bd4b163901ac4a020b54aae,mdl_hyundai_r60cr9a,hyundai-r60cr-9a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-r60cr-9a,0.88,Track Finder model family label
enr_1666dbaddae0825f241d1ae6,mdl_hyundai_robex_17z_9a,hyundai-robex-17z-9a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-17z-9a,0.88,Track Finder model family label
enr_9bd6da11e461fcd8361049b9,mdl_hyundai_robex_27z_9,hyundai-robex-27z-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-27z-9,0.88,Track Finder model family label
enr_918b80b4085aeb428932fd77,mdl_hyundai_robex285,hyundai-robex-28-5,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-28-5,0.88,Track Finder model family label
enr_568c405171289ee1e4a5e932,mdl_hyundai_robex_30,hyundai-robex-30,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-30,0.88,Track Finder model family label
