Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
tnt2307243hd,MERGE,TRUE,TNT2307243HD,"model.bobcat-x119, model.bobcat-x120, model.bobcat-x122, model.cat-mm15, model.hitachi-ue15, model.hitachi-ue15sr, model.john-deere-15, model.komatsu-pc09fr-1, model.kubota-scl1000, model.takeuchi-tb105, model.takeuchi-tb106, model.takeuchi-tb12, model.takeuchi-tb120, model.takeuchi-tb120r, model.takeuchi-tb14, model.takeuchi-tb15, model.takeuchi-tb16, model.takeuchi-tb650, model.takeuchi-tb650s, model.volvo-ec14, model.volvo-ec15bxr, model.volvo-ec15r, model.volvo-ec15rb, model.yanmar-b10, model.yanmar-b12, model.yanmar-b12-1, model.yanmar-b12-2, model.yanmar-b12-3, model.yanmar-b12-3pr, model.yanmar-b12pr, model.yanmar-b14, model.yanmar-b14-1, model.yanmar-b15, model.yanmar-b17, model.yanmar-b17-1, model.yanmar-b17pr, model.yanmar-yb10, model.yanmar-yb10-2, model.yanmar-yb121, model.yanmar-yb151, model.yanmar-ybt650"
tnt23072k44hd,MERGE,TRUE,TNT23072K44HD,"model.ditch-witch-sk1050, model.ditch-witch-sk750, model.ditch-witch-sk755, model.ditch-witch-sk800, model.ditch-witch-sk850, model.ditch-witch-sk900"
tnt23072k45hd,MERGE,TRUE,TNT23072K45HD,"model.bobcat-mt100, model.bobcat-mt85, model.new-holland-c314, model.vermeer-ctx100, model.vermeer-ctx160, model.vermeer-s725tx, model.vermeer-s800tx, model.vermeer-s925tx"
tnt240876328xd,MERGE,TRUE,TNT240876328XD,model.toro-dingo-tx427w
tnt240876328xdnm,MERGE,TRUE,TNT240876328XDNM,model.toro-dingo-tx427w
tnt240876337xd,MERGE,TRUE,TNT240876337XD,model.toro-dingo-tx1000w
tnt240876337xdnm,MERGE,TRUE,TNT240876337XDNM,model.toro-dingo-tx1000w
tnt2504867hd,MERGE,TRUE,TNT2504867HD,model.toro-dingo-tx1000w
tnt2507239hd,MERGE,TRUE,TNT2507239HD,"model.bobcat-e08, model.bobcat-e10, model.bobcat-mt55, model.case-tf300, model.case-tf300rt"
tnt2507252hd,MERGE,TRUE,TNT2507252HD,"model.bobcat-t110, model.ditch-witch-sk1550, model.gehl-rt105"
tnt2507252hdc,MERGE,TRUE,TNT2507252HDC,"model.bobcat-t110, model.ditch-witch-sk1550, model.gehl-rt105"
tnt300525k86hd,MERGE,TRUE,TNT300525K86HD,"model.case-cx33c, model.case-cx37c, model.hitachi-zx35u, model.hitachi-zx35u-5, model.hyundai-r35z-9, model.john-deere-35d, model.john-deere-35zts, model.komatsu-pc30mr-3, model.komatsu-pc35mr-2, model.komatsu-pc35mr-3"
tnt300525k88hd,MERGE,TRUE,TNT300525K88HD,"model.case-cx31b, model.case-cx31bmc, model.case-cx31bmr, model.case-cx36, model.case-cx36b, model.jcb-8035z, model.kobelco-sk35sr, model.new-holland-e-35-2sr, model.new-holland-e-35sr, model.new-holland-eh-35b, model.sany-sy35u, model.yanmar-vio35-6a"
tnt300525n74hd,MERGE,TRUE,TNT300525N74HD,"model.bobcat-325, model.new-holland-eh25"
tnt300525n76hd,MERGE,TRUE,TNT300525N76HD,"model.case-cx20b, model.case-cx22b, model.case-cx25, model.kubota-kx-027, model.kubota-kx-61-2, model.new-holland-e20-2sr, model.new-holland-e20sr, model.new-holland-e22-2sr, model.new-holland-e25sr, model.new-holland-e26c, model.new-holland-ec-25sr"
tnt300525n78hd,MERGE,TRUE,TNT300525N78HD,"model.case-cx26c, model.john-deere-27zts, model.komatsu-pc20-mr-2, model.komatsu-pc20mr"
tnt300525n80hd,MERGE,TRUE,TNT300525N80HD,"model.bobcat-329, model.bobcat-331, model.bobcat-331e, model.bobcat-334, model.bobcat-425, model.bobcat-428, model.bobcat-e26, model.bobcat-e32, model.bobcat-e32i, model.case-ck32, model.case-cx27b, model.ditch-witch-mx272, model.gehl-ge342, model.gehl-ge362, model.hitachi-zx27u-3, model.hyundai-robex-30, model.john-deere-26g, model.john-deere-26p, model.john-deere-27d, model.komatsu-pc15r, model.komatsu-pc20, model.komatsu-pc20-7, model.komatsu-pc25r-8, model.komatsu-pc26mr, model.komatsu-pc27mr, model.komatsu-pc27mr-2, model.komatsu-pc27mr-3, model.komatsu-pc27r-8, model.komatsu-pc28, model.komatsu-pc28uu, model.komatsu-pc28uu-1, model.komatsu-pc28uu-2, model.komatsu-pc28uu-3, model.kubota-k-028, model.kubota-k-030, model.kubota-kh-91, model.kubota-kx-71-2, model.kubota-kx-91-2s, model.kubota-kx91-2, model.new-holland-e27-2sr, model.new-holland-e30c, model.new-holland-ec-35sr, model.new-holland-eh-27b, model.sany-sy26u"
