machine_id,brand_id,model,model_canonical,machine_type,mount_type,primary_track_size_id,horsepower,operating_weight_lbs,std_gpm,hf_gpm,std_psi,lift_type,coupler_type,validation_status,source_systems,machine_status,canonical_model_group,shopify_handle,shopify_url,navigation_source
mdl_cat_246b,br_caterpillar,246B,246B,,,,,,,,,,,,supplier_fitment,quarantine,CAT 246B,,,
mdl_cat_246c,br_caterpillar,246C,246C,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,CAT 246C,,,
mdl_cat_246d,br_caterpillar,246D,246D,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,CAT 246D,,,
mdl_cat_246d3,br_caterpillar,246D3,246D3,,,,,,,,,,,,supplier_fitment,quarantine,CAT 246D3,,,
mdl_cat_247,br_caterpillar,247,247,Multi-Terrain Loader,Universal Quick-Attach,,57,7500,20.0,,3000,Radial,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,CAT 247,caterpillar-247,/pages/equipment-model/caterpillar-247,track_finder_v1
mdl_cat_247_b2,br_caterpillar,247-B2,247-B2,,,,,,,,,,,,size_index,quarantine,CAT 247-B2,,,
mdl_cat_247_b3,br_caterpillar,247-B3,247-B3,,,,,,,,,,,,size_index,quarantine,CAT 247-B3,,,
mdl_cat_247b,br_caterpillar,247B,247B,Multi-Terrain Loader,Universal Quick-Attach,ts_381x1005x42,61,6666,15.9,,3335,,,Needs Review,airtable|fitment_json|shopify_meta|supplier_fitment|supplier_products,active_v1,CAT 247B,caterpillar-247b,/pages/equipment-model/caterpillar-247b,track_finder_v1
mdl_cat_247b2,br_caterpillar,247B2,247B2,Multi-Terrain Loader,Universal Quick-Attach,ts_381x1005x42,61,6666,15.9,,3335,,,Needs Review,airtable|fitment_json|shopify_meta|supplier_fitment,active_v1,CAT 247B2,caterpillar-247b2,/pages/equipment-model/caterpillar-247b2,track_finder_v1
mdl_cat_247b3,br_caterpillar,247B3,247B3,Multi-Terrain Loader,Universal Quick-Attach,ts_381x1005x42,61,6666,15.9,,3335,,,Needs Review,airtable|fitment_json|shopify_meta|supplier_fitment,active_v1,CAT 247B3,caterpillar-247b3,/pages/equipment-model/caterpillar-247b3,track_finder_v1
mdl_cat_248,br_caterpillar,248,248,,,,,,,,,,,,supplier_fitment,quarantine,CAT 248,,,
mdl_cat_248b,br_caterpillar,248B,248B,,,,,,,,,,,,supplier_fitment,quarantine,CAT 248B,,,
mdl_cat_2493,br_caterpillar,2493,2493,Skid Steer,,ts_400x86bx49,,,,,,,,Needs Review,airtable|shopify_meta,active_v1,CAT 2493,caterpillar-2493,/pages/equipment-model/caterpillar-2493,track_finder_v1
mdl_cat_249d,br_caterpillar,249D,249D,Skid Steer,,ts_320x86bx49,,,,,,,,Needs Review,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,CAT 249D,caterpillar-249d,/pages/equipment-model/caterpillar-249d,track_finder_v1
mdl_cat_249d3,br_caterpillar,249D3,249D3,Skid Steer,Universal Quick-Attach,ts_320x86bx49,74,8187,23.0,30.0,3335,Radial,,Needs Review,airtable|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,CAT 249D3,caterpillar-249d3,/pages/equipment-model/caterpillar-249d3,track_finder_v1
