Handle,Command,Field: primary_track_size,Field: hero_image,Field: track_products [list.product_reference],Field: uc_products [list.product_reference]
ihi-25-nx,MERGE,300x52.5Nx78,,"300x52-5x78-rubber-track-directional, bs300525w78xd","bo101-300, bo101-350"
ihi-28-n,MERGE,300x52.5Nx78,,"300x52-5x78-rubber-track-directional, bs300525w78xd","bo101-300, bo101-350"
ihi-35n,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd","bo101-300, bo101-350"
ihi-50g,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, ht135-41-64-400-39l, st135-41-64-400-39l, st135-53-80-400-39l","bo135-400, ct135-41-64-400"
ihi-50gx,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, st135-53-80-400-39l","bo135-400, ct135-51-72-400"
ihi-50j,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725w74xd, st135-53-80-400-39l","bo135-400, ct135-51-72-400"
ihi-50ux,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725n74xd, bs400725w74xd, st135-53-80-400-39l, tnt400725n74hd","bo135-400, ct135-51-72-400"
ihi-50z,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-65nx,MERGE,400x72.5Wx76,,"400x72-5wx76-rubber-track-directional, st135-53-80-400-40l",
ihi-cl35,MERGE,320x86x52,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/kubota-skid-steer-hero.webp?v=1773971452,"320x86x52-rubber-tracks, bs3208652bxd, bs3208652cxd, bs3208652mbxd, bs3208652vxd, tnt3208652hdbl, tnt3208652hdmb, tnt3208652hdz, tnt3208652hdzb, tnt3208652sdc, tnt32086t52hdbl, tnt32086t52hdc, tnt32086t52hdmb, tnt32086t52hdzb",
ihi-cl45,MERGE,450x86Bx56,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/kubota-skid-steer-hero.webp?v=1773971452,"450x86x56-rubber-track-multi-bar, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc",
ihi-is-27,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
