shopify_handle,machine_id,brand,model,publish_status,hero,primary_track_size,track_products,uc_products,approved_track_sizes,blockers
bobcat-337,mdl_bobcat_337,Bobcat,337,ready,yes,400x72.5Kx74,4,7,3,
bobcat-341,mdl_bobcat_341,Bobcat,341,ready,yes,400x72.5Kx74,7,7,3,
bobcat-418,mdl_bobcat_418,Bobcat,418,ready,yes,180x72x39,3,0,1,
bobcat-425,mdl_bobcat_425,Bobcat,425,ready,yes,300x52.5Nx80,3,4,1,
bobcat-428,mdl_bobcat_428,Bobcat,428,ready,yes,300x52.5Nx80,2,3,1,
bobcat-430,mdl_bobcat_430,Bobcat,430,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
bobcat-435,mdl_bobcat_435,Bobcat,435,ready,yes,400x72.5Kx74,4,5,3,
bobcat-442,mdl_bobcat_442,Bobcat,442,ready,yes,400x72.5Kx74,1,2,3,
bobcat-864,mdl_bobcat_864,Bobcat,864,ready,yes,320x86x52,24,6,2,
bobcat-cx27b,mdl_bobcat_cx27b,Bobcat,CX27B,blocked,yes,300x52.5Nx80,0,0,1,no_products
bobcat-e08,mdl_bobcat_e08,Bobcat,E08,ready,yes,180x72x39,5,1,1,
bobcat-e10,mdl_bobcat_e10,Bobcat,E10,ready,yes,180x72x39,5,1,1,
bobcat-e20,mdl_bobcat_e20,Bobcat,E20,ready,yes,230x48x72,2,0,1,
bobcat-e25,mdl_bobcat_e25,Bobcat,E25,ready,yes,300x52.5Nx76,1,0,2,
bobcat-e26,mdl_bobcat_e26,Bobcat,E26,ready,yes,300x52.5Nx80,3,8,1,
bobcat-e27,mdl_bobcat_e27,Bobcat,E27,blocked,yes,300x52.5Nx80,0,0,1,no_products
bobcat-e27z,mdl_bobcat_e27z,Bobcat,E27Z,blocked,yes,300x52.5Nx80,0,0,1,no_products
bobcat-e32,mdl_bobcat_e32,Bobcat,E32,ready,yes,300x52.5Nx80,3,5,1,
bobcat-e32i,mdl_bobcat_e32i,Bobcat,E32I,ready,yes,300x52.5Nx80,2,4,1,
bobcat-e34,mdl_bobcat_e34,Bobcat,E34,blocked,yes,300x52.5Nx84,0,0,2,no_products
bobcat-e35,mdl_bobcat_e35,Bobcat,E35,ready,yes,300x52.5Nx84,6,6,2,
bobcat-e35i,mdl_bobcat_e35i,Bobcat,E35I,ready,yes,300x52.5Nx84,2,5,2,
bobcat-e35z,mdl_bobcat_e35z,Bobcat,E35Z,ready,yes,300x52.5Nx84,2,4,2,
bobcat-e37,mdl_bobcat_e37,Bobcat,E37,blocked,yes,300x52.5Nx84,0,0,2,no_products
bobcat-e42,mdl_bobcat_e42,Bobcat,E42,partial,yes,,2,5,1,missing_primary_track_size_v2
bobcat-e45,mdl_bobcat_e45,Bobcat,E45,ready,yes,400x72.5Kx74,4,6,3,
bobcat-e50,mdl_bobcat_e50,Bobcat,E50,ready,yes,400x72.5Kx74,4,6,3,
bobcat-e55,mdl_bobcat_e55,Bobcat,E55,ready,yes,400x72.5Kx74,4,6,3,
bobcat-e55z,mdl_bobcat_e55z,Bobcat,E55Z,ready,yes,400x72.5Kx74,2,1,3,
bobcat-e60,mdl_bobcat_e60,Bobcat,E60,ready,yes,400x72.5Wx76,3,2,1,
