shopify_handle,machine_id,brand,model,publish_status,hero,primary_track_size,track_products,uc_products,approved_track_sizes,blockers
caterpillar-304cr,mdl_cat_304cr,CAT,304CR,ready,yes,400x72.5Kx72,8,6,3,
caterpillar-304d,mdl_cat_304d,CAT,304D,ready,yes,300x52.5Wx90,1,0,1,
caterpillar-304d-cr,mdl_cat_304d_cr,CAT,304D CR,ready,yes,350x52.5x90,1,0,1,
caterpillar-304e,mdl_cat_304e,CAT,304E,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-304e-cr,mdl_cat_304e_cr,CAT,304E CR,ready,yes,350x52.5x90,3,0,1,
caterpillar-304e2,mdl_cat_304e2,CAT,304E2,ready,yes,300x52.5Wx90,3,0,1,
caterpillar-305cr,mdl_cat_305_cr,CAT,305 CR,blocked,yes,400x72.5Kx72,0,0,3,no_products
caterpillar-305-5,mdl_cat_305_5,CAT,305.5,ready,yes,400x72.5Kx72,4,5,3,
caterpillar-305-5d-cr,mdl_cat_305_5d_cr,CAT,305.5D CR,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305-5e,mdl_cat_305_5e,CAT,305.5E,ready,yes,400x72.5Wx76,2,3,1,
caterpillar-305-5e-cr,mdl_cat_305_5e_cr,CAT,305.5E CR,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305-5e2,mdl_cat_305_5e2,CAT,305.5E2,ready,yes,400x72.5Kx72,5,3,3,
caterpillar-305-5e2-cr,mdl_cat_305_5e2_cr,CAT,305.5E2 CR,blocked,yes,400x72.5Wx76,0,0,1,no_products
caterpillar-305c,mdl_cat_305c,CAT,305C,blocked,yes,400x72.5Kx72,0,0,3,no_products
caterpillar-305c-cr,mdl_cat_305c_cr,CAT,305C CR,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305d,mdl_cat_305d,CAT,305D,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305dcr,mdl_cat_305dcr,CAT,305DCR,ready,yes,400x72.5Wx76,2,5,1,
caterpillar-305e,mdl_cat_305e,CAT,305E,blocked,yes,400x72.5Wx76,0,0,1,no_products
caterpillar-305e-cr,mdl_cat_305e_cr,CAT,305E CR,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305e2,mdl_cat_305e2,CAT,305E2,ready,yes,400x72.5Wx76,2,0,1,
caterpillar-305e2-cr,mdl_cat_305e2_cr,CAT,305E2 CR,blocked,yes,400x72.5Wx76,0,0,1,no_products
caterpillar-306,mdl_cat_306,CAT,306,blocked,yes,400x72.5Wx76,0,0,1,no_products
caterpillar-306-cr,mdl_cat_306_cr,CAT,306 CR,blocked,yes,400x72.5Wx76,0,0,1,no_products
caterpillar-308cr,mdl_cat_308_cr,CAT,308 CR,ready,no,450x81Nx78,1,0,2,
caterpillar-308b,mdl_cat_308b,CAT,308B,blocked,no,450x81Nx78,0,0,2,no_products
caterpillar-308ccr,mdl_cat_308c_cr,CAT,308C CR,ready,no,450x81Nx78,2,0,2,
caterpillar-308c-sr,mdl_cat_308c_sr,CAT,308C SR,ready,no,450x81Nx78,2,0,2,
caterpillar-308d-cr,mdl_cat_308dcr,CAT,308DCR,ready,no,450x81Nx78,2,0,2,
caterpillar-308e,mdl_cat_308e,CAT,308E,blocked,no,450x81Nx78,0,0,2,no_products
caterpillar-308e-cr,mdl_cat_308e_cr,CAT,308E CR,ready,no,450x81Nx78,2,0,2,
caterpillar-308e2-cr,mdl_cat_308e2_cr,CAT,308E2 CR,ready,no,450x81Nx78,1,0,2,
caterpillar-mm15t,mdl_cat_mm15t,CAT,MM15T,ready,yes,230x96x31,2,0,1,
cormidi-c85,mdl_cormidi_c85,Cormidi,C85,ready,no,180x72x36,1,0,1,
daewoo-ah-30,mdl_daewoo_ah30,Daewoo,AH30,ready,yes,300x52.5Nx80,3,1,1,
daewoo-sl-035,mdl_daewoo_sl035,Daewoo,SL035,ready,yes,300x52.5Nx84,1,0,2,
daewoo-solar-018vt,mdl_daewoo_solar_018vt,Daewoo,SOLAR-018VT,ready,yes,230x48x70,2,0,1,
daewoo-solar-007,mdl_daewoo_solar007,Daewoo,SOLAR007,ready,no,180x72x37,1,0,1,
daewoo-solar-010,mdl_daewoo_solar010,Daewoo,SOLAR010,ready,no,180x72x37,1,0,1,
daewoo-solar-030,mdl_daewoo_solar030,Daewoo,SOLAR030,ready,yes,300x52.5Nx76,1,0,2,
daewoo-solar-035,mdl_daewoo_solar035,Daewoo,SOLAR035,ready,yes,300x52.5Nx84,1,0,2,
daewoo-solar-10,mdl_daewoo_solar10,Daewoo,SOLAR10,ready,no,180x72x37,1,0,1,
daewoo-solar-25,mdl_daewoo_solar25,Daewoo,SOLAR25,ready,yes,300x52.5Nx74,1,0,1,
daewoo-solar-35,mdl_daewoo_solar35,Daewoo,SOLAR35,ready,yes,300x52.5Nx80,3,1,1,
daewoo-solar-55,mdl_daewoo_solar55,Daewoo,SOLAR55,ready,yes,400x72.5Kx74,4,0,3,
daewoo-solar-55-3,mdl_daewoo_solar553,Daewoo,SOLAR553,ready,yes,400x72.5Wx76,2,0,1,
daewoo-solar-55-5,mdl_daewoo_solar555,Daewoo,SOLAR555,ready,yes,400x72.5Kx74,4,0,3,
daewoo-solar-55-v,mdl_daewoo_solar55v,Daewoo,SOLAR55V,ready,yes,400x72.5Kx74,4,0,3,
ditch-witch-ht-25-trencher,mdl_ditch_witch_ht_25,Ditch Witch,HT 25,ready,yes,230x72x39,1,0,1,
ditch-witch-ht-25k-saw-machine,mdl_ditch_witch_ht_25k,Ditch Witch,HT 25K,ready,yes,230x72x39,1,0,1,
ditch-witch-jt-1200-drilling-machine,mdl_ditch_witch_jt_1200,Ditch Witch,JT 1200,ready,yes,230x72x39,1,0,1,
ditch-witch-jt-1220-mach-1-drilling-machine,mdl_ditch_witch_jt_1220,Ditch Witch,JT 1220,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
ditch-witch-jt-1720-drilling-machine,mdl_ditch_witch_jt_1720,Ditch Witch,JT 1720,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
ditch-witch-jt-20-drilling-machine,mdl_ditch_witch_jt_20,Ditch Witch,JT 20,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
ditch-witch-jt-2020-mach-1,mdl_ditch_witch_jt_2020,Ditch Witch,JT 2020,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
ditch-witch-jt-2320-drilling-machine,mdl_ditch_witch_jt_2320,Ditch Witch,JT 2320,ready,yes,300x52.5Nx78,1,0,2,
ditch-witch-jt-2321-drilling-machine,mdl_ditch_witch_jt_2321,Ditch Witch,JT 2321,blocked,yes,300x52.5Nx78,0,0,2,no_products
ditch-witch-jt-2511-drilling-machine,mdl_ditch_witch_jt_2511,Ditch Witch,JT 2511,ready,yes,230x72x39,1,0,1,
ditch-witch-jt-30-drilling-machine,mdl_ditch_witch_jt_30,Ditch Witch,JT 30,blocked,yes,,0,0,15,missing_primary_track_size_v2;no_products
ditch-witch-jt-40-drilling-machine,mdl_ditch_witch_jt_40,Ditch Witch,JT 40,ready,yes,400x72.5Kx74,4,0,3,
ditch-witch-jt-5,mdl_ditch_witch_jt_5,Ditch Witch,JT 5,ready,yes,180x72x39,3,0,1,
ditch-witch-jt-520,mdl_ditch_witch_jt_520,Ditch Witch,JT 520,ready,yes,180x72x39,3,0,1,
ditch-witch-jt-2520-drilling-machine,mdl_ditch_witch_jt2520,Ditch Witch,JT2520,partial,yes,,2,0,2,missing_primary_track_size_v2
ditch-witch-jt-2720-mach-1-drilling-machine,mdl_ditch_witch_jt2720,Ditch Witch,JT2720,partial,yes,,2,0,2,missing_primary_track_size_v2
ditch-witch-jt-860-drilling-machine,mdl_ditch_witch_jt860,Ditch Witch,JT860,partial,yes,,2,0,2,missing_primary_track_size_v2
ditch-witch-jt-922,mdl_ditch_witch_jt922,Ditch Witch,JT922,blocked,yes,,0,0,15,missing_primary_track_size_v2;no_products
ditch-witch-mx27,mdl_ditch_witch_mx_27,Ditch Witch,MX 27,blocked,yes,300x52.5Nx78,0,0,2,no_products
ditch-witch-mx272,mdl_ditch_witch_mx_272,Ditch Witch,MX 272,blocked,yes,300x52.5Nx78,0,0,2,no_products
ditch-witch-mx35,mdl_ditch_witch_mx_35,Ditch Witch,MX 35,blocked,yes,300x52.5Nx84,0,0,2,no_products
ditch-witch-mx352,mdl_ditch_witch_mx_352,Ditch Witch,MX-352,ready,yes,300x52.5x86,1,0,1,
ditch-witch-mx182,mdl_ditch_witch_mx182,Ditch Witch,MX182,ready,yes,230x48x70,2,0,1,
ditch-witch-sk1050,mdl_ditch_witch_sk1050,Ditch Witch,SK1050,ready,yes,230x72Kx44,3,0,1,
ditch-witch-sk-1550,mdl_ditch_witch_sk1550,Ditch Witch,SK1550,ready,no,250x72x52,3,0,1,
ditch-witch-sk500,mdl_ditch_witch_sk500,Ditch Witch,SK500,ready,yes,180x72x39,4,0,1,
ditch-witch-sk-600,mdl_ditch_witch_sk600,Ditch Witch,SK600,ready,no,180x72x40,2,0,2,
ditch-witch-sk-650,mdl_ditch_witch_sk650,Ditch Witch,SK650,ready,no,180x72x42,3,0,1,
ditch-witch-sk750,mdl_ditch_witch_sk750,Ditch Witch,SK750,ready,yes,230x72Kx44,3,0,1,
ditch-witch-sk752,mdl_ditch_witch_sk752,Ditch Witch,SK752,ready,no,230x72Kx44,2,0,1,
ditch-witch-sk755,mdl_ditch_witch_sk755,Ditch Witch,SK755,ready,yes,230x72Kx44,3,0,1,
ditch-witch-sk800,mdl_ditch_witch_sk800,Ditch Witch,SK800,ready,yes,230x72Kx44,2,0,1,
ditch-witch-sk850,mdl_ditch_witch_sk850,Ditch Witch,SK850,ready,yes,230x72Kx44,2,0,1,
ditch-witch-sk900,mdl_ditch_witch_sk900,Ditch Witch,SK900,ready,yes,230x72Kx44,3,0,1,
doosan-dx27z,mdl_doosan_dx27z,Doosan,DX27Z,ready,yes,300x52.5Nx80,3,0,1,
doosan-dx30z,mdl_doosan_dx30z,Doosan,DX30Z,ready,yes,300x52.5Nx84,1,0,2,
doosan-dx35,mdl_doosan_dx35,Doosan,DX35,ready,yes,300x52.5x86,2,2,1,
doosan-dx35-z7,mdl_doosan_dx35_z7,Doosan,DX35-Z7,ready,yes,300x52.5x86,2,1,1,
doosan-dx35-5,mdl_doosan_dx355,Doosan,DX355,ready,yes,300x52.5Nx84,1,0,3,
doosan-dx35z,mdl_doosan_dx35z,Doosan,DX35Z,ready,yes,300x52.5x86,2,1,1,
doosan-dx50k-5,mdl_doosan_dx50k5,Doosan,DX50K5,ready,yes,400x72.5Kx74,4,0,3,
doosan-dx55,mdl_doosan_dx55,Doosan,DX55,ready,yes,400x72.5Kx74,4,2,3,
doosan-dx-55z,mdl_doosan_dx55z,Doosan,DX55Z,ready,yes,400x72.5Kx74,4,0,3,
doosan-dx60r,mdl_doosan_dx60r,Doosan,DX60R,ready,yes,400x72.5Wx76,2,2,1,
doosan-dx62r-3,mdl_doosan_dx62r3,Doosan,DX62R3,ready,yes,400x72.5Wx76,2,0,1,
doosan-dx63-3,mdl_doosan_dx633,Doosan,DX633,ready,yes,400x72.5Wx76,2,0,1,
doosan-dx80r,mdl_doosan_dx80r,Doosan,DX80R,ready,no,450x81Nx76,4,0,2,
doosan-dx85r,mdl_doosan_dx85r,Doosan,DX85R,ready,no,450x81Nx76,4,0,2,
doosan-dx85r-3,mdl_doosan_dx85r3,Doosan,DX85R3,ready,no,450x81Nx76,4,0,2,
doosan-s55,mdl_doosan_s55,Doosan,S55,ready,yes,400x72.5Kx74,4,0,3,
gehl-303,mdl_gehl_303,Gehl,303,ready,yes,300x52.5Nx78,4,2,2,
gehl-502,mdl_gehl_502,Gehl,502,ready,yes,400x72.5Kx74,3,2,3,
gehl-503z,mdl_gehl_503z,Gehl,503Z,ready,yes,400x72.5Kx74,3,2,3,
gehl-603,mdl_gehl_603,Gehl,603,ready,yes,400x72.5Kx74,6,2,3,
gehl-ctl135,mdl_gehl_ctl135,Gehl,CTL135,ready,no,320x86x52,4,0,1,
gehl-ctl165,mdl_gehl_ctl165,Gehl,CTL165,blocked,yes,320x86Bx49,0,0,2,no_products
gehl-ctl55,mdl_gehl_ctl55,Gehl,CTL55,ready,no,320x86x52,10,0,1,
gehl-ctl60,mdl_gehl_ctl60,Gehl,CTL60,ready,yes,320x86x52,8,4,2,
gehl-ctl65,mdl_gehl_ctl65,Gehl,CTL65,ready,yes,320x86x52,4,4,2,
gehl-ctl70,mdl_gehl_ctl70,Gehl,CTL70,ready,yes,450x100x48,12,5,1,
gehl-ctl75,mdl_gehl_ctl75,Gehl,CTL75,ready,yes,450x100x48,6,4,1,
gehl-ctl80,mdl_gehl_ctl80,Gehl,CTL80,ready,yes,450x100x50,12,4,1,
gehl-ctl85,mdl_gehl_ctl85,Gehl,CTL85,ready,yes,450x100x50,6,4,1,
gehl-ge303,mdl_gehl_ge303,Gehl,GE303,blocked,yes,300x52.5Nx78,0,0,2,no_products
gehl-ge342,mdl_gehl_ge342,Gehl,GE342,ready,yes,300x52.5Nx80,6,1,1,
gehl-ge362,mdl_gehl_ge362,Gehl,GE362,ready,yes,300x52.5Nx84,3,1,2,
gehl-ge502,mdl_gehl_ge502,Gehl,GE502,ready,yes,400x72.5Kx74,3,2,3,
gehl-ge503,mdl_gehl_ge503,Gehl,GE503,blocked,yes,400x72.5Kx74,0,0,3,no_products
gehl-ge602,mdl_gehl_ge602,Gehl,GE602,ready,yes,400x72.5Kx74,3,2,3,
gehl-mb28,mdl_gehl_mb28,Gehl,MB28,blocked,yes,300x52.5Nx78,0,0,2,no_products
equipment-model-6awxkbkh,mdl_gehl_rt105,Gehl,RT105,ready,no,250x72x52,5,0,1,
gehl-rt135,mdl_gehl_rt135,Gehl,RT135,ready,yes,320x84Bx46,5,0,1,
gehl-rt165,mdl_gehl_rt165,Gehl,RT165,ready,yes,320x86Bx49,34,3,2,
gehl-rt210,mdl_gehl_rt210,Gehl,RT210,ready,yes,450x86Bx56,13,4,1,
gehl-rt215,mdl_gehl_rt215,Gehl,RT215,ready,yes,450x86Bx56,30,4,1,
gehl-rt250,mdl_gehl_rt250,Gehl,RT250,ready,yes,450x86Bx58,26,5,1,
gehl-rt255,mdl_gehl_rt255,Gehl,RT255,ready,yes,450x86Bx58,13,5,1,
gehl-vt210,mdl_gehl_vt210,Gehl,VT210,blocked,yes,400x86Bx50,0,0,1,no_products
gehl-vt320,mdl_gehl_vt320,Gehl,VT320,ready,yes,450x86Bx58,13,4,1,
hanix-h36b,mdl_hanix_h36b,Hanix,H36B,ready,yes,300x52.5Nx84,1,0,2,
hanix-h36c,mdl_hanix_h36c,Hanix,H36C,ready,yes,300x52.5Nx84,1,0,2,
hanix-h36cr,mdl_hanix_h36cr,Hanix,H36CR,ready,yes,300x52.5Nx84,1,0,2,
hanix-h36r,mdl_hanix_h36r,Hanix,H36R,ready,yes,300x52.5Nx84,1,0,2,
hitachi-30u,mdl_hitachi_30u,Hitachi,30U,ready,yes,300x52.5x86,2,1,1,
hitachi-35u,mdl_hitachi_35u,Hitachi,35U,ready,yes,300x52.5x86,2,1,1,
hitachi-ex35u,mdl_hitachi_ex_35_u,Hitachi,EX-35-U,ready,yes,300x52.5x86,1,0,1,
hitachi-ex12,mdl_hitachi_ex12,Hitachi,EX12,ready,yes,230x96x31,2,1,1,
hitachi-ex12-1,mdl_hitachi_ex12_1,Hitachi,EX12-1,ready,yes,230x96x31,2,0,1,
hitachi-ex12-2,mdl_hitachi_ex12_2,Hitachi,EX12-2,ready,yes,230x96x31,2,0,1,
hitachi-ex15,mdl_hitachi_ex15,Hitachi,EX15,ready,yes,230x96x31,2,0,1,
hitachi-ex15-1,mdl_hitachi_ex15_1,Hitachi,EX15-1,ready,yes,230x96x31,2,0,1,
hitachi-ex15-2,mdl_hitachi_ex15_2,Hitachi,EX15-2,ready,yes,230x96x31,2,0,1,
hitachi-ex15u,mdl_hitachi_ex15u,Hitachi,EX15U,ready,yes,230x96x31,2,0,1,
hitachi-ex16,mdl_hitachi_ex16,Hitachi,EX16,ready,yes,230x96x31,2,0,1,
hitachi-ex17,mdl_hitachi_ex17,Hitachi,EX17,ready,yes,230x48x70,0,1,1,
hitachi-ex35,mdl_hitachi_ex35,Hitachi,EX35,ready,yes,300x52.5Nx84,1,1,2,
hitachi-ex35-1,mdl_hitachi_ex351,Hitachi,EX351,blocked,yes,300x52.5Nx84,0,0,2,no_products
hitachi-ex36u,mdl_hitachi_ex36u,Hitachi,EX36U,ready,yes,300x52.5x86,2,1,1,
hitachi-ex40ur,mdl_hitachi_ex40ur,Hitachi,EX40UR,ready,yes,300x52.5Nx84,1,1,2,
hitachi-ex40ur-3,mdl_hitachi_ex40ur_3,Hitachi,EX40UR-3,ready,yes,300x52.5x86,3,2,1,
hitachi-ex50u,mdl_hitachi_ex50u,Hitachi,EX50U,ready,yes,400x72.5Kx74,4,4,3,
hitachi-ex58mu,mdl_hitachi_ex58mu,Hitachi,EX58MU,ready,yes,400x72.5Kx74,3,3,3,
hitachi-sh15-2,mdl_hitachi_sh15_2,Hitachi,SH15-2,ready,yes,230x96x31,2,0,1,
hitachi-ue35,mdl_hitachi_ue35,Hitachi,UE35,ready,yes,300x52.5x86,3,1,1,
hitachi-zx14-3,mdl_hitachi_zx14_3,Hitachi,ZX14-3,ready,yes,230x96x31,2,0,1,
hitachi-zx17u,mdl_hitachi_zx17u,Hitachi,ZX17U,ready,yes,230x48x70,1,0,1,
hitachi-zx17u-2,mdl_hitachi_zx17u_2,Hitachi,ZX17U-2,ready,yes,230x48x70,2,1,1,
hitachi-zx27u-3,mdl_hitachi_zx27u3,Hitachi,ZX27U3,blocked,yes,300x52.5Nx80,0,0,1,no_products
hitachi-zx30u,mdl_hitachi_zx30u,Hitachi,ZX30U,ready,yes,300x52.5x86,3,4,1,
hitachi-zx30u-2,mdl_hitachi_zx30u_2,Hitachi,ZX30U-2,ready,yes,300x52.5x86,3,2,1,
hitachi-zx30-u5,mdl_hitachi_zx30u_5,Hitachi,ZX30U-5,blocked,yes,300x52.5x86,0,0,1,no_products
hitachi-zx33u,mdl_hitachi_zx33u,Hitachi,ZX33U,ready,yes,300x52.5x86,3,2,1,
hitachi-zx35-u5n,mdl_hitachi_zx35_u5n,Hitachi,ZX35-U5N,ready,yes,300x52.5x86,2,5,1,
hitachi-zx35u,mdl_hitachi_zx35u,Hitachi,ZX35U,ready,yes,300x52.5x86,3,4,1,
hitachi-zx35u-2,mdl_hitachi_zx35u_2,Hitachi,ZX35U-2,ready,yes,300x52.5x86,3,4,1,
hitachi-zx35u-3,mdl_hitachi_zx35u_3,Hitachi,ZX35U-3,ready,yes,300x52.5x86,3,4,1,
hitachi-zx40u-2,mdl_hitachi_zx40u2,Hitachi,ZX40U2,blocked,yes,400x72.5Kx74,0,0,3,no_products
hitachi-zx50u-5,mdl_hitachi_zx50u_5,Hitachi,ZX50U-5,ready,yes,400x72.5Kx74,4,6,3,
hitachi-zx50u-2,mdl_hitachi_zx50u2,Hitachi,ZX50U2,blocked,yes,400x72.5Kx74,0,0,3,no_products
hitachi-zx50u-3,mdl_hitachi_zx50u3,Hitachi,ZX50U3,blocked,yes,400x72.5Kx74,0,0,3,no_products
hitachi-zx60usb-3,mdl_hitachi_zx60usb3,Hitachi,ZX60USB3,blocked,yes,400x72.5Kx74,0,0,3,no_products
hitachi-zx60usb-5,mdl_hitachi_zx60usb5,Hitachi,ZX60USB5,blocked,yes,400x72.5Kx74,0,0,3,no_products
hyundai-r17z-9a,mdl_hyundai_r17z_9a,Hyundai,R17Z-9A,ready,yes,230x48x70,2,0,1,
hyundai-r27z-9,mdl_hyundai_r27z_9,Hyundai,R27Z-9,blocked,yes,300x52.5Nx80,0,0,1,no_products
hyundai-r35z-7,mdl_hyundai_r35z_7,Hyundai,R35Z-7,blocked,yes,300x52.5Nx84,0,0,2,no_products
hyundai-r-35-z-9,mdl_hyundai_r35z9,Hyundai,R35Z9,ready,yes,300x52.5x86,2,0,1,
hyundai-r55-9a,mdl_hyundai_r55_9a,Hyundai,R55-9A,blocked,yes,400x72.5Wx76,0,0,1,no_products
hyundai-r55-3,mdl_hyundai_r553,Hyundai,R553,ready,yes,400x72.5Wx76,2,0,1,
hyundai-r55-7,mdl_hyundai_r557,Hyundai,R557,ready,yes,400x72.5Wx76,2,0,1,
hyundai-r55-9,mdl_hyundai_r559,Hyundai,R559,ready,yes,400x72.5Wx76,2,0,1,
hyundai-r60cr-9,mdl_hyundai_r60cr9,Hyundai,R60CR9,ready,yes,400x72.5Wx76,2,0,1,
hyundai-r60cr-9a,mdl_hyundai_r60cr9a,Hyundai,R60CR9A,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-27z-9,mdl_hyundai_robex_27z_9,Hyundai,ROBEX 27Z-9,ready,yes,300x52.5Nx80,3,0,1,
hyundai-robex-30,mdl_hyundai_robex_30,Hyundai,ROBEX 30,ready,yes,300x52.5Nx80,3,1,1,
hyundai-robex-35-5,mdl_hyundai_robex_35_5,Hyundai,ROBEX 35-5,ready,yes,300x52.5Nx84,1,0,2,
hyundai-robex-35-7,mdl_hyundai_robex_35_7,Hyundai,ROBEX 35-7,ready,yes,300x52.5Nx84,1,0,2,
hyundai-robex-36-7,mdl_hyundai_robex_36_7,Hyundai,ROBEX 36-7,ready,yes,300x52.5Nx84,1,0,2,
hyundai-robex-17z-9a,mdl_hyundai_robex_17z_9a,Hyundai,ROBEX-17Z-9A,ready,yes,230x48x70,2,0,1,
hyundai-robex-28-5,mdl_hyundai_robex285,Hyundai,ROBEX285,ready,yes,300x52.5Nx74,1,0,1,
hyundai-robex-30z-9ak,mdl_hyundai_robex30z9ak,Hyundai,ROBEX30Z9AK,ready,yes,300x52.5x86,2,0,1,
hyundai-robex-35-9,mdl_hyundai_robex359,Hyundai,ROBEX359,ready,yes,300x52.5x86,2,0,1,
hyundai-robex-35z-7a,mdl_hyundai_robex35z7a,Hyundai,ROBEX35Z7A,ready,yes,300x52.5x86,2,0,1,
hyundai-robex35z9a,mdl_hyundai_robex35z9a,Hyundai,ROBEX35Z9A,ready,yes,300x52.5x86,2,2,1,
hyundai-robex-35z-9ak,mdl_hyundai_robex35z9ak,Hyundai,ROBEX35Z9AK,ready,yes,300x52.5x86,2,0,1,
hyundai-robex-55-3,mdl_hyundai_robex553,Hyundai,ROBEX553,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-55-7,mdl_hyundai_robex557,Hyundai,ROBEX557,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-55-9,mdl_hyundai_robex559,Hyundai,ROBEX559,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-55-9a,mdl_hyundai_robex559a,Hyundai,ROBEX559A,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-60cr-9a,mdl_hyundai_robex60cr9a,Hyundai,ROBEX60CR9A,ready,yes,400x72.5Wx76,2,0,1,
hyundai-robex-75-7,mdl_hyundai_robex75_7,Hyundai,ROBEX75-7,ready,no,450x81Nx76,1,0,2,
hyundai-robex-80-7,mdl_hyundai_robex807,Hyundai,ROBEX807,blocked,no,450x81Wx74,0,0,1,no_products
hyundai-robex-80cr-9,mdl_hyundai_robex80cr9,Hyundai,ROBEX80CR9,blocked,no,450x81Nx76,0,0,2,no_products
hyundai-robex-r60-cr-9,mdl_hyundai_robexr60cr9,Hyundai,ROBEXR60CR9,ready,yes,400x72.5Wx76,2,0,1,
ihi-17vx,mdl_ihi_17vx,IHI,17VX,ready,yes,230x48x70,2,0,1,
ihi-18-j,mdl_ihi_18_j,IHI,18-J,ready,yes,230x48x70,2,0,1,
ihi-18n,mdl_ihi_18n,IHI,18N,ready,yes,230x48x70,2,0,1,
ihi-18nxt,mdl_ihi_18nxt,IHI,18NXT,ready,yes,230x48x70,2,0,1,
ihi-25-nx,mdl_ihi_25nx,IHI,25NX,ready,yes,300x52.5Nx78,2,2,2,
ihi-28-n,mdl_ihi_28n,IHI,28N,ready,yes,300x52.5Nx78,2,2,2,
ihi-28-n-2,mdl_ihi_28n2,IHI,28N2,blocked,yes,300x52.5Nx78,0,0,2,no_products
ihi-35n,mdl_ihi_35n,IHI,35N,ready,yes,300x52.5Nx84,2,2,2,
ihi-45v-4,mdl_ihi_45v4,IHI,45V4,blocked,yes,400x72.5Kx74,0,0,3,no_products
ihi-50g,mdl_ihi_50g,IHI,50G,ready,yes,400x72.5Kx74,5,2,3,
ihi-50g-3,mdl_ihi_50g3,IHI,50G3,blocked,yes,400x72.5Kx74,0,0,3,no_products
ihi-50gx,mdl_ihi_50gx,IHI,50GX,ready,yes,400x72.5Kx74,3,2,3,
ihi-50j,mdl_ihi_50j,IHI,50J,ready,yes,400x72.5Kx74,3,2,3,
ihi-50jx,mdl_ihi_50jx,IHI,50JX,blocked,yes,400x72.5Kx74,0,0,3,no_products
ihi-50ux,mdl_ihi_50ux,IHI,50UX,ready,yes,400x72.5Kx74,5,2,3,
ihi-50z,mdl_ihi_50z,IHI,50Z,ready,yes,400x72.5Kx74,4,2,3,
ihi-65nx,mdl_ihi_65nx,IHI,65NX,ready,yes,400x72.5Wx76,2,0,1,
ihi-cl35,mdl_ihi_cl35,IHI,CL35,ready,yes,320x86x52,14,0,2,
ihi-cl45,mdl_ihi_cl45,IHI,CL45,ready,yes,450x86Bx56,13,0,1,
ihi-is-27,mdl_ihi_is27,IHI,IS27,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-27g,mdl_ihi_is27g,IHI,IS27G,ready,yes,300x52.5Nx76,1,2,2,
ihi-is-27gx,mdl_ihi_is27gx,IHI,IS27GX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-28g,mdl_ihi_is28g,IHI,IS28G,ready,yes,300x52.5Nx76,1,2,2,
ihi-is-28g3,mdl_ihi_is28g3,IHI,IS28G3,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-28gx,mdl_ihi_is28gx,IHI,IS28GX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-28j,mdl_ihi_is28j,IHI,IS28J,ready,yes,300x52.5Nx76,1,2,2,
ihi-is-28lx,mdl_ihi_is28lx,IHI,IS28LX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-28px,mdl_ihi_is28px,IHI,IS28PX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-28ux,mdl_ihi_is28ux,IHI,IS28UX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-30g,mdl_ihi_is30g,IHI,IS30G,ready,yes,300x52.5Nx76,1,2,2,
ihi-is-30gx,mdl_ihi_is30gx,IHI,IS30GX,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-30j,mdl_ihi_is30j,IHI,IS30J,ready,yes,300x52.5Nx76,1,1,2,
ihi-is-30jx,mdl_ihi_is30jx,IHI,IS30JX,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-30nx,mdl_ihi_is30nx,IHI,IS30NX,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-30uj,mdl_ihi_is30uj,IHI,IS30UJ,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-32j,mdl_ihi_is32j,IHI,IS32J,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-35g,mdl_ihi_is35g,IHI,IS35G,ready,yes,300x52.5Nx84,2,2,2,
ihi-is-35gx,mdl_ihi_is35gx,IHI,IS35GX,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-35j,mdl_ihi_is35j,IHI,IS35J,ready,yes,300x52.5Nx84,2,1,2,
ihi-is-35nx,mdl_ihi_is35nx,IHI,IS35NX,ready,yes,300x52.5Nx84,4,1,2,
ihi-is-35uj,mdl_ihi_is35uj,IHI,IS35UJ,ready,yes,300x52.5Nx84,4,1,2,
