entity_type,entity_id,handle_or_size,media_role,has_media,url_preview,status
machine,mdl_asv_rt_25,asv-rt25,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_30,asv-rt30,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_40,asv-rt40,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_50,asv-rt-50,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_60,asv-rt-60,hero,no,,review
machine,mdl_asv_rt_65,asv-rt-65,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_75,asv-rt-75,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_75_hd,asv-rt-75hd,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_sc_50,asv-sc-50,hero,no,,review
machine,mdl_asv_sr80,asv-sr-80,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_vt_70,asv-vt-70,hero,no,,review
machine,mdl_bobcat_220,bobcat-220,hero,no,,review
machine,mdl_bobcat_225,bobcat-225,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_231,bobcat-231,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_320,bobcat-320,hero,no,,review
machine,mdl_bobcat_320d,bobcat-320d,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_320e,bobcat-320e,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_321,bobcat-321,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_322,bobcat-322,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_323,bobcat-323,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_324,bobcat-324,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_325,bobcat-325,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-325-hero.webp,pass
machine,mdl_bobcat_328,bobcat-328,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-328-hero.webp,pass
machine,mdl_bobcat_329,bobcat-329,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_331,bobcat-331,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_331e,bobcat-331e,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_334,bobcat-334,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_337,bobcat-337,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_341,bobcat-341,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_418,bobcat-418,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/180x72x39-directional-01.webp,pass
machine,mdl_bobcat_425,bobcat-425,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-425-hero.webp,pass
machine,mdl_bobcat_428,bobcat-428,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-428-hero.webp,pass
machine,mdl_bobcat_430,bobcat-430,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_435,bobcat-435,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_442,bobcat-442,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_864,bobcat-864,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-864-hero.webp,pass
machine,mdl_bobcat_cx27b,bobcat-cx27b,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_e08,bobcat-e08,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e08-hero.webp,pass
machine,mdl_bobcat_e10,bobcat-e10,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e10-hero.webp,pass
machine,mdl_bobcat_e20,bobcat-e20,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e20-hero.webp,pass
machine,mdl_bobcat_e25,bobcat-e25,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx76-directional-01.webp,pass
machine,mdl_bobcat_e26,bobcat-e26,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e26-hero.webp,pass
machine,mdl_bobcat_e27,bobcat-e27,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_e27z,bobcat-e27z,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_e32,bobcat-e32,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e32-hero.webp,pass
machine,mdl_bobcat_e32i,bobcat-e32i,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_e34,bobcat-e34,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-excavator-hero.webp?v=1773973926,pass
machine,mdl_bobcat_e35,bobcat-e35,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e35-hero.webp,pass
machine,mdl_bobcat_e35i,bobcat-e35i,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-01.webp,pass
machine,mdl_bobcat_e35z,bobcat-e35z,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-01.webp,pass
machine,mdl_bobcat_e37,bobcat-e37,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-excavator-hero.webp?v=1773973926,pass
machine,mdl_bobcat_e42,bobcat-e42,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e42-hero.webp,pass
machine,mdl_bobcat_e45,bobcat-e45,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e45-hero.webp,pass
machine,mdl_bobcat_e50,bobcat-e50,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e50-hero.webp,pass
machine,mdl_bobcat_e55,bobcat-e55,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e55-hero.webp,pass
machine,mdl_bobcat_e55z,bobcat-e55z,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_e60,bobcat-e60,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e60-hero.webp,pass
machine,mdl_bobcat_e62,bobcat-e62,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Wx76-directional-01.webp,pass
machine,mdl_bobcat_e63,bobcat-e63,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e63-hero.webp,pass
machine,mdl_bobcat_e80,bobcat-e80,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e80-hero.webp,pass
machine,mdl_bobcat_e85,bobcat-e85,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-e85-hero.webp,pass
machine,mdl_bobcat_mt100,bobcat-mt100,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt100-hero.webp,pass
machine,mdl_bobcat_mt50,bobcat-mt50,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt50-hero.webp,pass
machine,mdl_bobcat_mt52,bobcat-mt52,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt52-hero.webp,pass
machine,mdl_bobcat_mt55,bobcat-mt55,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt55-hero.webp,pass
machine,mdl_bobcat_mt85,bobcat-mt85,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-mt85-hero.webp,pass
machine,mdl_bobcat_t110,bobcat-t110,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t110-hero.webp,pass
machine,mdl_bobcat_t140,bobcat-t140,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-skid-steer-hero.webp?v=1773971451,pass
machine,mdl_bobcat_t180,bobcat-t180,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t180-hero.webp,pass
machine,mdl_bobcat_t190,bobcat-t190,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t190-hero.webp,pass
machine,mdl_bobcat_t200,bobcat-t200,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t200-hero.webp,pass
machine,mdl_bobcat_t250,bobcat-t250,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t250-hero.webp,pass
machine,mdl_bobcat_t300,bobcat-t300,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t300-hero.webp,pass
machine,mdl_bobcat_t320,bobcat-t320,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t320-hero.webp,pass
machine,mdl_bobcat_t450,bobcat-t450,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/bobcat-skid-steer-hero.webp?v=1773971451,pass
machine,mdl_bobcat_t550,bobcat-t550,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t550-hero.webp,pass
machine,mdl_bobcat_t590,bobcat-t590,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t590-hero.webp,pass
machine,mdl_bobcat_t595,bobcat-t595,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t595-hero.webp,pass
machine,mdl_bobcat_t62,bobcat-t62,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t62-hero.webp,pass
machine,mdl_bobcat_t630,bobcat-t630,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t630-hero.webp,pass
machine,mdl_bobcat_t64,bobcat-t64,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t64-hero.webp,pass
machine,mdl_bobcat_t650,bobcat-t650,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t650-hero.webp,pass
machine,mdl_bobcat_t66,bobcat-t66,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t66-hero.webp,pass
machine,mdl_bobcat_t730,bobcat-t730,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t730-hero.webp,pass
machine,mdl_bobcat_t740,bobcat-t740,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t740-hero.webp,pass
machine,mdl_bobcat_t750,bobcat-t750,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t750-hero.webp,pass
machine,mdl_bobcat_t76,bobcat-t76,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t76-hero.webp,pass
machine,mdl_bobcat_t770,bobcat-t770,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t770-hero.webp,pass
machine,mdl_bobcat_t830,bobcat-t830,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t830-hero.webp,pass
machine,mdl_bobcat_t86,bobcat-t86,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t86-hero.webp,pass
machine,mdl_bobcat_t864,bobcat-t864,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86Bx52-c-block-01.webp,pass
machine,mdl_bobcat_t870,bobcat-t870,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t870-hero.webp,pass
machine,mdl_boxer_118,boxer-118,hero,no,,review
machine,mdl_boxer_320,boxer-320,hero,no,,review
machine,mdl_boxer_322d,boxer-322d,hero,no,,review
machine,mdl_boxer_400,boxer-400,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_boxer_427,boxer-427,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_boxer_526dx,boxer-526dx,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_boxer_530dx,boxer-530dx,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_boxer_532dx,boxer-532dx,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_boxer_brute_trx,boxer-brute-trx,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x72x39-c-block-01.webp,pass
machine,mdl_case_15,case-15,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_case_15maxi,case-15maxi,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
