machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_cat_297d2_xhp,caterpillar-297d2-xhp,/pages/fitment/caterpillar-297d2-xhp,/metaobjects/model/caterpillar-297d2-xhp,,active_v1,pass,
mdl_cat_299c,caterpillar-299c,/pages/fitment/caterpillar-299c,/metaobjects/model/caterpillar-299c,450x86Bx60,active_v1,pass,
mdl_cat_299d,caterpillar-299d,/pages/fitment/caterpillar-299d,/metaobjects/model/caterpillar-299d,450x86Bx60,active_v1,pass,
mdl_cat_299d_xhp,caterpillar-299d-xhp,/pages/fitment/caterpillar-299d-xhp,/metaobjects/model/caterpillar-299d-xhp,450x86Bx60,active_v1,pass,
mdl_cat_299d2,caterpillar-299d2,/pages/fitment/caterpillar-299d2,/metaobjects/model/caterpillar-299d2,450x86Bx60,active_v1,pass,
mdl_cat_299d3,caterpillar-299d3,/pages/fitment/caterpillar-299d3,/metaobjects/model/caterpillar-299d3,450x86Bx60,active_v1,pass,
mdl_cat_300_9d,caterpillar-300-9d,/pages/fitment/caterpillar-300-9d,/metaobjects/model/caterpillar-300-9d,180x72x37,active_v1,pass,
mdl_cat_301_5,caterpillar-301-5,/pages/fitment/caterpillar-301-5,/metaobjects/model/caterpillar-301-5,230x96x31,active_v1,pass,
mdl_cat_301_7d,caterpillar-301-7d,/pages/fitment/caterpillar-301-7d,/metaobjects/model/caterpillar-301-7d,230x48x72,active_v1,pass,
mdl_cat_3016,caterpillar-301-6,/pages/fitment/caterpillar-301-6,/metaobjects/model/caterpillar-301-6,230x48x70,active_v1,pass,
mdl_cat_3016c,caterpillar-301-6c,/pages/fitment/caterpillar-301-6c,/metaobjects/model/caterpillar-301-6c,230x48x70,active_v1,pass,
mdl_cat_3018c,caterpillar-301-8c,/pages/fitment/caterpillar-301-8c,/metaobjects/model/caterpillar-301-8c,230x48x70,active_v1,pass,
mdl_cat_302_5,caterpillar-302-5,/pages/fitment/caterpillar-302-5,/metaobjects/model/caterpillar-302-5,300x52.5Nx78,active_v1,pass,
mdl_cat_302_5c,caterpillar-302-5c,/pages/fitment/caterpillar-302-5c,/metaobjects/model/caterpillar-302-5c,300x52.5Nx78,active_v1,pass,
mdl_cat_303_cr,caterpillar-303cr,/pages/fitment/caterpillar-303cr,/metaobjects/model/caterpillar-303cr,300x52.5Nx84,active_v1,pass,
mdl_cat_303_5,caterpillar-303-5,/pages/fitment/caterpillar-303-5,/metaobjects/model/caterpillar-303-5,300x52.5Nx84,active_v1,pass,
