machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_bobcat_322,bobcat-322,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_bobcat_323,bobcat-323,0,0,0,2,1,0,0,1,n/a,review,no_track_size_options;no_v2_track_products
mdl_bobcat_324,bobcat-324,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_bobcat_325,bobcat-325,1,4,4,11,3,1,0,2,n/a,pass,
mdl_bobcat_328,bobcat-328,1,1,1,1,0,0,0,0,n/a,pass,
mdl_bobcat_329,bobcat-329,1,5,2,15,2,2,0,4,n/a,pass,
mdl_bobcat_331,bobcat-331,1,3,1,9,1,1,0,3,n/a,pass,
mdl_bobcat_331e,bobcat-331e,1,2,1,7,1,1,0,2,n/a,pass,
mdl_bobcat_334,bobcat-334,1,3,1,9,1,1,0,3,n/a,pass,
mdl_bobcat_337,bobcat-337,3,4,1,11,1,1,0,3,review,pass,
mdl_bobcat_341,bobcat-341,3,7,2,21,2,2,0,6,review,pass,
mdl_bobcat_418,bobcat-418,1,3,2,3,0,0,0,0,n/a,pass,
mdl_bobcat_425,bobcat-425,1,3,1,7,1,1,0,1,n/a,pass,
mdl_bobcat_428,bobcat-428,1,2,1,5,1,1,0,0,n/a,pass,
mdl_bobcat_430,bobcat-430,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_bobcat_435,bobcat-435,3,4,1,9,1,1,0,1,review,pass,
mdl_bobcat_442,bobcat-442,3,1,1,3,0,0,0,0,review,pass,
mdl_bobcat_864,bobcat-864,2,24,16,30,2,2,0,2,pass,pass,
mdl_bobcat_cx27b,bobcat-cx27b,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_bobcat_e08,bobcat-e08,1,5,3,7,0,0,0,2,n/a,pass,
mdl_bobcat_e10,bobcat-e10,1,5,3,6,0,0,0,1,n/a,pass,
mdl_bobcat_e20,bobcat-e20,1,2,2,2,0,0,0,0,n/a,pass,
mdl_bobcat_e25,bobcat-e25,2,1,1,1,0,0,0,0,review,pass,
mdl_bobcat_e26,bobcat-e26,1,3,1,14,1,0,0,9,n/a,pass,
mdl_bobcat_e27,bobcat-e27,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_bobcat_e27z,bobcat-e27z,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_bobcat_e32,bobcat-e32,1,3,1,8,1,1,0,2,n/a,pass,
mdl_bobcat_e32i,bobcat-e32i,1,2,1,6,1,1,0,1,n/a,pass,
mdl_bobcat_e34,bobcat-e34,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_bobcat_e35,bobcat-e35,2,6,4,14,3,1,0,3,review,pass,
mdl_bobcat_e35i,bobcat-e35i,2,2,2,7,1,1,0,2,review,pass,
mdl_bobcat_e35z,bobcat-e35z,2,2,2,6,1,1,0,1,review,pass,
mdl_bobcat_e37,bobcat-e37,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
